,headlines,raw_links
823,Novartis unveils new SMA gene therapy data in EU, https://www.fiercepharma.com/pharma/novartis-cites-transformative-data-zolgensma-as-it-rolls-out-sma-gene-therapy-europe
824,Pfizer fleshes out 'build-buy-partner' strategy in gene therapy, https://www.fiercepharma.com/manufacturing/pfizer-leans-into-gene-therapy-manufacturing-build-buy-partner-strategy
825,Novartis hits FDA roadblock in Zolgensma expansion bid, https://www.fiercepharma.com/marketing/relief-for-biogen-and-roche-novartis-plan-for-zolgensma-older-patients-hits-setback-fda
826,Vibalogics taps Lonza veteran as CEO to head U.S. expansion, https://www.fiercepharma.com/manufacturing/viral-vector-manufacturer-vibalogics-adds-ceo-to-lead-expansion-covid-19-response
827,J&J partner Legend's CEO under 'residential surveillance', https://www.fiercepharma.com/pharma-asia/chinese-customs-raids-j-j-car-t-partner-legend-s-office-puts-new-ceo-under-residential
828,"Takeda, Celltrion, BMS-Dr. Reddy's and more—FiercePharmaAsia", https://www.fiercepharma.com/pharma-asia/fiercepharmaasia-takeda-s-cell-therapy-center-celltrion-s-covid-antibody-dr-reddy-s
829,Takeda opens R&D cell therapy manufacturing center in Boston, https://www.fiercepharma.com/manufacturing/takeda-unveils-new-boston-r-d-manufacturing-center-for-cell-therapy-pipeline-push
830,Merck KGaA plots new facility for next-gen oncology meds, https://www.fiercepharma.com/manufacturing/merck-kgaa-s-miiliporesigma-pumps-65m-into-antibody-drug-conjugate-scale-up
831,Emergent plots $75M plant expansion to produce viral vectors, https://www.fiercepharma.com/manufacturing/emergent-plots-75m-expansion-to-produce-viral-vectors-for-expanding-gene-therapy
832,Gilead scores long-awaited EU approval for Dutch CAR-T facility, https://www.fiercepharma.com/manufacturing/gilead-sees-better-days-ahead-for-car-t-therapy-yescarta-after-eu-nod-for-amsterdam
833,WuXi AppTec names Celgene veteran to CAR-T manufacturing lead, https://www.fiercepharma.com/manufacturing/wuxi-apptec-welcomes-veteran-celgene-s-troubled-cell-therapy-program-to-car-t
834,WuXi upgrades CAR-T offerings with new manufacturing platform, https://www.fiercepharma.com/manufacturing/wuxi-upgrades-car-t-offerings-new-manufacturing-platform
835,Novartis eyes new Zolgensma growth with EU nod, https://www.fiercepharma.com/marketing/new-zolgensma-inflection-point-here-as-novartis-snags-eu-nod-for-sma-gene-therapy
836,"BMS, bluebird bio scramble after FDA rebuffs CAR-T submission", https://www.fiercepharma.com/pharma/bristol-myers-squibb-hot-water-after-fda-rebuffs-car-t-therapy-manufacturing-concerns
837,Merck KGaA earmarks $110M for viral vector expansion, https://www.fiercepharma.com/manufacturing/merk-kgaa-invests-110m-expanding-california-viral-vector-facility
838,"Takeda-CSL, Qiming, Fujifilm's Avigan and more—FiercePharmaAsia", https://www.fiercepharma.com/pharma-asia/fiercepharmaasia-takeda-csl-coronavirus-tie-up-qiming-s-1b-vc-fund-fujifilm-s-avigan
839,"Fujifilm's Avigan, Aurobindo-Sandoz and more—FiercePharmaAsia", https://www.fiercepharma.com/pharma-asia/fiercepharmaasia-fujifilm-s-avigan-for-covid-19-aurobindo-novartis-deal-end-china-s-api
